program_id;program_name;raiku_category;subcategory;raiku_product;source;notes
JupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v;Jupiter Staking;staking;liquid;potential;manual;Staking ops - rebalancing could benefit from guaranteed execution
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So;Marinade;staking;liquid;aot;manual;Marinade - rebalance cranker = AOT (confirmed in usecases doc)
CgntPoLka5pD5fesJYhGmUCF8KU1QS1ZmZiuAuMZr2az;Sanctum;staking;liquid;potential;manual;LST infrastructure - stake rebalancing could need AOT
BSwp6bEBihVLdqJRKGgzjcGLHkcTuzmSo1TQkHepzH8p;BonkSwap;dex;amm;potential;manual;DEX - traders could benefit from guaranteed execution
jCebN34bUfdeUYJT13J1yG16XWQpt5PDx6Mse9GUqhR;Jupiter DCA;cranker;dca;aot;manual;DCA = predictable scheduled execution = AOT (confirmed in usecases doc)
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL;Associated Token;system;token;neither;solana_docs;SPL token accounts - system infrastructure
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA;Token Program;system;token;neither;solana_docs;SPL token program - system infrastructure
11111111111111111111111111111111;System Program;system;core;neither;solana_docs;Solana system program - system infrastructure
ComputeBudget111111111111111111111111111111;ComputeBudget;system;core;neither;solana_docs;Compute budget program - system infrastructure
Vote111111111111111111111111111111111111111;Vote Program;system;vote;neither;solana_docs;Validator voting - system infrastructure
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH;Pyth Oracle;oracle;price_feed;aot;manual;Oracle updates = scheduled/predictable = AOT (confirmed in usecases doc)
7UVimffxr9ow1uXYxsr4LHAcV58mLzhmwaeKvJ1pjLiE;Switchboard;oracle;price_feed;aot;manual;Oracle = scheduled updates = AOT
GDDMwNyyx8uB6zrqwBFHjLLG3TBYk2F8Az4yrQC5RzMp;Orca Legacy;dex;amm;potential;manual;Legacy DEX - LPs could benefit from execution guarantees
9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin;Serum V3;dex;orderbook;potential;manual;Legacy orderbook - historical but same MM logic applies
worm2ZoG2kUd4vFXhvjh93UUH596ayRfgQ2MgjNMTth;Wormhole;bridge;cross_chain;potential;manual;Bridge - cross-chain messages may need guaranteed timing
3u8hJUVTA4jH1wYAyUur7FFZVQ8H635K3tSHHF4ssjQ5;Allbridge;bridge;cross_chain;potential;manual;Bridge - same logic as Wormhole
SoLXmnP9JWfhGMCSWUQPcDkd4byAEGiiV7aSG6iGMRz;Solax;dex;amm;potential;manual;DEX - traders could benefit
HQ2UUt18uJqKaQFJhgV9zaTdQxUZjNrsKFKRMIBZga1c;Hadeswap;nft;marketplace;potential;manual;NFT AMM - could benefit from guaranteed execution during high-demand mints
M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K;Magic Eden V2;nft;marketplace;potential;manual;NFT marketplace - minting/trading during congestion
TSWAPaqyCSx2KABk68Shruf4rp7CxcNi8hAsbdwmHbN;Tensor;nft;marketplace;potential;manual;NFT marketplace - same logic
BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi;BisonFi;dex;prop_amm;aot;bisonfi_docs;PropAMM by Forward Industries - confirmed AOT (oracle/quote updates)
TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb;Token-2022;system;token_extension;neither;solana_docs;SPL Token-2022 (Token Extensions) - system infrastructure
Ed25519SigVerify111111111111111111111111111;Ed25519 Sig Verify;system;signature_verify;neither;solana_docs;Native Solana Ed25519 signature verification precompile
MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr;Memo Program;system;metadata;neither;solana_docs;SPL Memo program - system infrastructure
pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA;Pump.fun AMM;dex;amm;potential;manual;Pump.fun graduated AMM pools - snipers during launches could need JIT
BPFLoaderUpgradeab1e11111111111111111111111;BPF Loader;system;program_deployment;neither;solana_docs;Native Solana program deployment - system infrastructure
routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS;Jupiter Route;dex;aggregator;both;jupiter_docs;Jupiter aggregator routing - same logic as Jupiter V6
KeccakSecp256k11111111111111111111111111111;Keccak Secp256k1;system;signature_verify;neither;solana_docs;Native Solana secp256k1 verification - system infrastructure
BGUMAp9Gq7iTEuizy4pqaxsTyUCBK68MDfK752saRPUY;Bubblegum;nft;compressed_nft;potential;metaplex_docs;Compressed NFT protocol - minting during congestion
KLend2g3cP87fffoy8q1mQqGKjrxjC8boSyAYavgmjD;Kamino Lending v2;lending;pool;aot;kamino_docs;Kamino K-Lend - liquidation keepers = AOT
pythWSnswVUd12oZpeFP8e9CVaEqJg25g1Vtc2biRsT;Pyth Push Oracle;oracle;price_feed;aot;pyth_docs;Pyth push oracle - scheduled updates = AOT
SAGE2HAwep459SNq61LHvjxPk4pLPEJLoMETef7f7EE;Star Atlas SAGE;gaming;game;potential;staratlas_docs;Gaming - raiku.com lists gaming as a vertical (multiplayer coordination)
Stake11111111111111111111111111111111111111;Stake Program;system;staking;neither;solana_docs;Native Solana stake program - system infrastructure
AddressLookupTab1e1111111111111111111111111;Address Lookup Table;system;address_lookup;neither;solana_docs;Native Solana address lookup table - system infrastructure
FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9;Flash Trade;perps;perpetuals;both;flash_trade_docs;Perps DEX - crankers/keepers = AOT + traders/liquidators = JIT
9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp;HumidiFi;dex;prop_amm;aot;solscan;Solscan: HumidiFi - PropAMM (documented in raiku_exec_problems.txt)
King7ki4SKMBPb3iupnQwTyjsq294jaXsgLmJo8cb7T;Arbitrage Bot (King7);trading_bot;arbitrage;jit;solscan;Solscan: Arbitrage Bot - DEX-DEX arb = JIT
8Ue7UGaqgk9GR3YphyDMe9TX4rdUqsbVXfPcFbzM5LDE;Arbitrage Bot (8Ue7U);trading_bot;arbitrage;jit;solscan;Solscan: Arbitrage Bot - DEX-DEX arb = JIT
EtrnLzgbS7nMMy5fbD42kXiUzGg8XQzJ972Xtk1cjWih;Phoenix Eternal;dex;orderbook;both;solscan;Solscan: Phoenix Eternal - orderbook MMs (AOT) + traders (JIT)
phDEVv4w6BcfkLrLNeXr8HhhgQxnxziVGXpGPcaadMf;Phoenix Perpetuals Program;perps;perpetuals;both;solscan;Solscan: Phoenix Perpetuals - crankers (AOT) + traders (JIT)
MEXkeo4BPUCZuEJ4idUUwMPu4qvc9nkqtLn3yAyZLxg;Swissborg;system;exchange;potential;solscan;Solscan: Swissborg - crypto exchange may need reliable execution
HDwcJBJXjL9FpJ7UBsYBtaDjsBUhuLCUYoz3zr8SWWaQ;Wormhole Program;bridge;cross_chain;potential;solscan;Solscan: Wormhole Program - bridge may need guaranteed timing
vBoNdEvzMrSai7is21XgVYik65mqtaKXuSdMBJ1xkW4;Marinade Bond program;staking;bond;potential;solscan;Solscan: Marinade Bond - staking operations could use AOT
SKRskrmtL83pcL4YqLWt6iPefDqwXQWHSw9S9vz94BZ;Solana Seeker;unknown;mobile_gaming;potential;solscan;Solscan: Solana Seeker - mobile/gaming vertical on raiku.com
HFn8GnPADiny6XqUoWE8uRPPxb29ikn4yTuPa9MF2fWJ;Kamino Scope Price;oracle;price_feed;aot;solscan;Solscan: Kamino Scope Price - oracle = scheduled updates = AOT
CroWg74XNDF8UMnAZVbXx49iVj7iJ7b4CsqTCVWF7aK;Arbitrage Bot (CroWg);trading_bot;arbitrage;jit;solscan;Solscan: Arbitrage Bot - DEX-DEX arb = JIT
G3z6yQqLP1q2JqFqEwND6rTX3vsnzzr3Vv16pMoSdkcx;SolPump Crash Program;gambling;crash;potential;solscan;Solscan: SolPump Crash - gaming/gambling could need reliable execution
cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG;Meteora DAMM v2;dex;amm;both;solscan;Solscan: Meteora DAMM v2 - LPs (AOT) + traders (JIT)
PdMDrKEMaX8q7CCJb7NvUCxerBCcsFUa4LjBEynTtEd;pumpup.ai;trading_bot;sniper;jit;solscan;Solscan: pumpup.ai - token sniper bot needs fast execution = JIT
1avaAUcjccXCjSZzwUvB2gS3DzkkieV2Mw8CjdN65uu;Lavarage USDC Leverage;lending;leverage;potential;solscan;Solscan: Lavarage - leverage/liquidation defense could use AOT
4pjbtQCpaXFrmT7wcfuCQnAWLCUhRuK9CKQyvou1F5xo;Luck.io Program;gambling;casino;potential;solscan;Solscan: Luck.io - on-chain casino could need reliable execution
jesterKqzZ7hWfNLnUDeB8WtMrm7a44g2vSyhs7WmyT;Trading Bot (jester);trading_bot;mev;jit;behavioral;557 SOL fees / 86K txs / 38.03 fee/CU = very high-fee MEV bot pattern
Bgo4vNe3vxRv37j8mmQarJo8vbjHEKgkhJDZzxiizBid;Trading Bot (Bgo4v);trading_bot;mev;jit;behavioral;16.9 SOL / 28K txs / 150K CU / 3.98 fee/CU = high-value MEV bot pattern
FtyzXdj1NRexpX3WJqxs4qaqo2S2LehiRPyPY9hWDarn;Trading Bot (Ftyz);trading_bot;arbitrage;jit;behavioral;17.2 SOL / 611K txs / 20K CU / 1.52 fee/CU = high-volume arb bot
45fCmmKfFjZ1bYu7zHyUPYsfPauQAD1RVinUmBp8DbSb;Trading Bot (45fC);trading_bot;arbitrage;jit;behavioral;7.0 SOL / 228K txs / 85K CU / 0.41 fee/CU = moderate arb bot
CoqTVH4YViufSd8idZ7WwndUQUDWnTT6yERGjXfjQd52;Trading Bot (CoqT);trading_bot;arbitrage;jit;behavioral;0.45 SOL / 41K txs / 164K CU / 0.07 fee/CU = volume arb bot
DT3X9y2w3S13M4GiQNbMtsrYeA9eEZpLg6frM4V28at5;Automated Bot (DT3X);trading_bot;keeper;aot;behavioral;22.3 SOL / 1.1M txs / 8K CU / 2.42 fee/CU = very consistent fee = keeper/crank bot
D4aBeFn9DBhU41kFNvr9kVKRuBy858ATxwTevmJCCJYL;Automated Bot (D4aB);trading_bot;keeper;aot;behavioral;10.2 SOL / 1M txs / 3.5K CU / 3.13 fee/CU = consistent fee = keeper/crank bot
8jaLKWLJAj5jVCZbxpe3zRUvLB3LD48MRtaQ2AjfCfxa;Trading Bot (8jaL);trading_bot;arbitrage;jit;behavioral;7.2 SOL / 1.4M txs / 76K CU / 0.07 fee/CU = high-volume bot
9VX8EKBg6vM6tA68xaDsPkbrx26XConZjkQmhVApUptc;MEV Bot (9VX8);trading_bot;mev;jit;behavioral;9.1 SOL / 1.6M txs / 532 CU / 10.75 fee/CU = extreme fee/CU ratio = MEV tip program
5bsFrMYiXMEEkVny2x37J1kK3U6h6RbtYGqxNAAFeSV7;Unknown DeFi (5bsF);unknown;unknown;unknown;behavioral;0.30 SOL / 11K txs / 153K CU - insufficient data to classify
GH8Ya8jNnovpKH6r4YUiZGmfmv2t4onak1D4Bng4Vudw;Unknown DeFi (GH8Y);unknown;unknown;unknown;behavioral;4.15 SOL / 119K txs / 203K CU - high CU suggests DeFi but unidentifiable
StenDH7EmnXdcniwsXgTWtN1ogfQksZ1C5UGBr7dNBG;MEV Bot (StenDH7);trading_bot;mev;jit;behavioral;399 SOL / 87K txs / 152K CU / 27.84 fee/CU = extreme fees = whale MEV bot
9i7QdbBHx7fjLAAaFfcDRgkdS4oNfKv8duzyE27a1kJ6;MEV Bot (9i7Qd);trading_bot;mev;jit;behavioral;118 SOL / 5.9K txs / 151K CU / 121.33 fee/CU = highest fee/CU = whale MEV bot
Ceu4aCcSV624aRGUoWt2pPd5YuLZM4gyos7kyrPrpGG1;Unknown Protocol (Ceu4a);unknown;defi;potential;behavioral;13.8 SOL / 2.5M txs / 79K CU = high volume DeFi protocol
LiMoM9rMhrdYrfzUCxQppvxCSG1FcrUK9G8uLq4A1GF;Unknown DeFi (LiMoM);unknown;defi;potential;behavioral;11.9 SOL / 10K txs / 412K CU = very high CU complex DeFi
brzp8fNvHCBRi8UcCnTQUgQ2bQ4JnJTJtCvPzpKf2ty;Unknown DeFi (brzp8);unknown;defi;potential;behavioral;8.6 SOL / 15K txs / 243K CU = high CU DeFi protocol
pudgeNoz4YrkpwZr8dYmhkHJz87yRHsJeyxZhQChetj;Pudge Protocol;unknown;defi;potential;behavioral;5.7 SOL / 120K txs / 160K CU - unidentified protocol
CRSeeBqjDnm3UPefJ9gxrtngTsnQRhEJiTA345Q83X3v;Unknown Bot (CRSee);trading_bot;trading;jit;behavioral;5.4 SOL / 79K txs / 18K CU / 3.73 fee/CU = elevated fee/CU suggests trading bot
7SyiQ664tWYCyWyKDftkfLspE85pJrUR4kJQwb6brYb9;Keeper Bot (7SyiQ);trading_bot;keeper;aot;behavioral;5.3 SOL / 523K txs / 2.5K CU / 4.09 fee/CU = tiny CU + consistent = keeper pattern
sa12qbQyuQqEaDcEqEPKmZEGTdzSMaqj87nKRYbE3QE;Unknown Protocol (sa12q);unknown;defi;potential;behavioral;4.2 SOL / 581K txs / 31K CU = high-volume protocol
FdDd6eCKiRTUDnQ9o466pDnpcks6kwPCVc1uqcMdScAf;Unknown Bot (FdDd6);trading_bot;trading;jit;behavioral;4.2 SOL / 342K txs / 13K CU / 1.10 fee/CU = moderate fee bot
FTV1kbDLaeVM4LG4vHrVu2qdt2cXazYTXWWUi1xFAJdK;Unknown Protocol (FTV1k);unknown;defi;potential;behavioral;3.8 SOL / 597K txs / 109K CU = high-volume DeFi
4R3gSG8BpU4t19KYj8CfnbtRpnT8gtk4dvTHxVRwc2r7;Unknown Protocol (4R3gS);unknown;defi;potential;behavioral;3.6 SOL / 726K txs / 76K CU = very high volume
FDF8AxHB8UK7RS6xay6aBvwS3h7kez9gozqz14JyfKsg;Trading Bot (FDF8A);trading_bot;mev;jit;behavioral;3.6 SOL / 16K txs / 28K CU / 7.86 fee/CU = high fee/CU = MEV bot
AEyodoBDx5vgvEpWLUbNRMYHrSJ113uW2A8avE3GEB7X;Unknown Protocol (AEyod);unknown;defi;potential;behavioral;3.6 SOL / 217K txs / 47K CU = moderate DeFi protocol
dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN;Unknown Protocol (dbcij);unknown;defi;potential;behavioral;3.1 SOL / 408K txs / 90K CU = high-volume DeFi
jupgfSgfuAXv4B6R2Uxu85Z1qdzgju79s6MfZekN6XS;Jupiter Governance;dex;governance;neither;jupiter_prefix;jup prefix + 3.3K txs + 383K CU = Jupiter governance/admin operations
nosJhNRqr2bc9g1nfGDcXXTXvYUmxD4cVwy2pMWhrYM;Nosana Jobs;compute;gpu_marketplace;potential;nosana_docs;Nosana GPU compute marketplace - job scheduling could need AOT
riptK81hDxhe5pW5jSzSM9iRA8azgEgLJ4dXkPtBS7j;Tip Bot (riptK);trading_bot;tips;jit;behavioral;2.5 SOL / 505K txs / 344 CU / 14.58 fee/CU = tiny CU + high fee = tip/MEV routing
metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s;Metaplex Token Metadata;nft;metadata;neither;metaplex_docs;Metaplex NFT metadata standard - system infrastructure
vanshF62ku4jVVdf8DS47SXuJC1rq8qokGSANAomhey;Trading Bot (vansh);trading_bot;mev;jit;behavioral;2.2 SOL / 3.9K txs / 84K CU / 3.60 fee/CU = low volume high fee = whale bot
ENicYBBNZQ91toN7ggmTxnDGZW14uv9UkumN7XBGeYJ4;Unknown DeFi (ENicY);unknown;defi;potential;behavioral;2.1 SOL / 25K txs / 75K CU / 1.21 fee/CU
CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C;Raydium CPMM;dex;amm;both;raydium_docs;Raydium Constant Product MM - LPs need rebalancing (AOT) + traders (JIT)
6m9TTqMk9RoJxNjGMrTeNAmjewMWfmk2gRYubPDE8x6k;Unknown DeFi (6m9TT);unknown;defi;potential;behavioral;2.1 SOL / 142K txs / 151K CU - high CU DeFi
hi5iKPdHrk15joDZcfTio8vw5SnYnvrXQMv2qESCrJj;Trading Bot (hi5iK);trading_bot;mev;jit;behavioral;2.0 SOL / 7.9K txs / 218K CU / 1.24 fee/CU = low volume complex trades
7TAvuPyU7cDMhhfXs1yCDZPEEbPuynd7zVeUtQLjfLmZ;Trading Bot (7TAvuP);trading_bot;mev;jit;behavioral;2.0 SOL / 8.6K txs / 97K CU / 3.86 fee/CU = high fee/CU = MEV bot
boreXQWsKpsJz5RR9BMtN8Vk4ndAk23sutj8spWYhwk;Unknown Protocol (boreX);unknown;defi;potential;behavioral;2.0 SOL / 407K txs / 34K CU = high-volume moderate protocol
9m7YMBgQaxYpUwrjLvS6AA3FmGH83qXgifA5aF5VbEue;Unknown DeFi (9m7YM);unknown;defi;potential;behavioral;1.8 SOL / 47K txs / 142K CU - high CU DeFi
oreV3EG1i9BEgiAJ8b177Z2S2rMarzak4NMv1kULvWv;ORE Mining;mining;pow;neither;ore_docs;ORE proof-of-work mining on Solana - not a RAIKU target
SMRTzfY6DfH5ik3TKiyLFfXexV8uSG3d2UksSCYdunG;Unknown Bot (SMRT);trading_bot;trading;jit;behavioral;1.7 SOL / 14K txs / 35K CU / 4.47 fee/CU = high fee/CU trading bot
6WPHMhYD7JLAF1HEtC6Ddkn93ADbGtyC93HUh7wy75m2;Keeper Bot (6WPHMh);trading_bot;keeper;aot;behavioral;1.5 SOL / 300K txs / 14K CU / 0.37 fee/CU = consistent high-volume = keeper pattern
RangohQxaWip6i1twAAnRVLmob9j88fid7sq2DMAATW;Range Protocol;defi;vault;aot;behavioral;1.5 SOL / 10K txs / 190K CU = vault rebalancing = AOT keeper pattern
EmTX93xYtDE3h7G5EF2m9VRPE1UT1XBoohpVmEzE4oEU;Keeper Bot (EmTX9);trading_bot;keeper;aot;behavioral;1.5 SOL / 148K txs / 7K CU / 1.91 fee/CU = small CU consistent = keeper
idemJL67fKhpev5vKcxHrosuVyTat6wVC9sFfoPVg3Y;Unknown Protocol (idemJ);unknown;defi;potential;behavioral;1.4 SOL / 144K txs / 12K CU = moderate protocol
FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn;Flash Loan Protocol;lending;flash_loan;both;behavioral;1.4 SOL / 75K txs / 117K CU - flash loans used by arb (JIT) and liquidations (AOT)
7xiamgXLjjKPsAJMWq7UHCyjJWCgqY4oBXTieqzd8Te1;Unknown Protocol (7xiam);unknown;defi;potential;behavioral;1.4 SOL / 276K txs / 99K CU = high-volume DeFi
F6KwbonKLyLNbD1SfWDwKN3T3BUxK3Pguy3yxWtxo9w9;Whale Bot (F6Kwb);trading_bot;mev;jit;behavioral;1.4 SOL / 1.2K txs / 131K CU / 8.44 fee/CU = very few txs very high fee = whale
SHARKobtfF1bHhxD2eqftjHBdVSCbKo9JtgK71FhELP;Sharky.fi;lending;nft_lending;potential;sharky_docs;NFT lending - liquidation keepers could use AOT
SBondMDrcV3K4kxZR1HNVT7osZxAHVHgYXL5Ze1oMUv;SBond (Marinade);staking;bond;potential;behavioral;1.3 SOL / 258K txs / 27K CU = staking bonds operations
HLCorec4bsTSiyzskDuAqrqD5NXDZeLhdvWqs7wjWRx5;Helium Core;iot;network;potential;behavioral;1.3 SOL / 25K txs / 65K CU = Helium IoT network state updates
CoREENxT6tW1HoK8ypY1SxRMZTcVPm7R94rH4PZNhX7d;Core Protocol;unknown;defi;potential;behavioral;1.2 SOL / 169K txs / 17K CU = moderate DeFi
7FaMyGiTVdjm8dd3PxpjjCX15ibbmuE1zWVFX2PHxYUK;Unknown Protocol (7FaMy);unknown;defi;potential;behavioral;1.2 SOL / 240K txs / 39K CU = high-volume
F2rSwpfYCTWiBGmPTkk2zbMMiF6A1wRGjBUB1XxzoGBf;Unknown Protocol (F2rSw);unknown;defi;potential;behavioral;1.2 SOL / 239K txs / 18K CU = high-volume protocol
FHKBuiohcYB5n636h7UmHahRGU5UCHX8CSb6DNSUqX65;Unknown Protocol (FHKBu);unknown;defi;potential;behavioral;1.2 SOL / 237K txs / 31K CU = high-volume protocol
6sbWW8qnrXoNXVMcTGLBQJefuaNcJsuqxztXUegHi4Wq;Unknown Bot (6sbWW);trading_bot;keeper;aot;behavioral;1.2 SOL / 118K txs / 9K CU / 1.24 fee/CU = small CU consistent = keeper
FarmsPZpWu9i7Kky8tPN37rs2TpmMrAZrC7S7vJa91Hr;Farms Protocol;defi;yield;aot;behavioral;1.1 SOL / 33K txs / 90K CU = yield farming auto-compound = keeper/cranker AOT
G77G9wS9JzkzWNGwQjUhRswbA5N8hYKpCK4TZRj9G1Pw;Keeper Bot (G77G9);trading_bot;keeper;aot;behavioral;1.1 SOL / 76K txs / 11K CU / 2.71 fee/CU = small CU consistent = keeper
Memo1UhkJRfHyvLMcVucJwxXeuD728EqVDDwQDxFMNo;Memo Program Legacy;system;metadata;neither;solana_docs;Legacy SPL Memo program - system infrastructure
CRSHdMVmWgRsarrRWnRXWKMxJhLEUheiU6SEhqCLS4Gm;Unknown Bot (CRSHd);trading_bot;trading;jit;behavioral;1.0 SOL / 100K txs / 4.8K CU / 2.27 fee/CU = small CU elevated fee = trading bot
C7QLEmDz81Usvy2sYa4xZSdA8EwEcYvZo8iuYZMaqXmj;Unknown Protocol (C7QLE);unknown;defi;potential;behavioral;0.97 SOL / 133K txs / 70K CU
ARBTRGgcwmy3VS2W9YaauL7FSMBmB41cJ8EkfWGo8D6c;Arbitrage Bot (ARBTR);trading_bot;arbitrage;jit;prefix_match;ARBTR prefix = arbitrage bot - 193K txs / 207K CU
25uXrrL4p6xd9Uk6jQPiFQoipg4nH48Jk7RNUGEcqbg8;Keeper Bot (25uXr);trading_bot;keeper;aot;behavioral;0.97 SOL / 193K txs / 13K CU / 0.38 fee/CU = consistent keeper pattern
Yt3A8KLfo7JEz8RGHw2zbaQE6MVcf9duKmb24dgXbsD;Trading Bot (Yt3A8);trading_bot;mev;jit;behavioral;0.95 SOL / 38K txs / 5K CU / 5.24 fee/CU = high fee/CU MEV
AZipysY3PXDM61RJzdnP4UtWR3tVgM9kGdxXwLbjP41S;Unknown Bot (AZipy);trading_bot;trading;jit;behavioral;0.94 SOL / 29K txs / 19K CU / 2.66 fee/CU = elevated fee trading bot
pjwLcQDbzybW1FrHVbvkLzzk836S4TvXmtsqvYWC967;Unknown Protocol (pjwLc);unknown;defi;potential;behavioral;0.92 SOL / 131K txs / 23K CU
APR1MEny25pKupwn72oVqMH4qpDouArsX8zX4VwwfoXD;APR Protocol;defi;yield;aot;behavioral;0.90 SOL / 76K txs / 139K CU - yield optimization = keeper/rebalancer AOT
8aquaCPqbpsWvHdpfhTgfBg8eJWqNZKQgyYzzFXCdRkH;Aqua Protocol;defi;vault;potential;behavioral;0.88 SOL / 175K txs / 136K CU = DeFi vault protocol
2o5Mab8XFN4BYcfrquLJaPGyNiFbUgwNKYBmRVn4UTqj;Unknown Protocol (2o5Ma);unknown;defi;potential;behavioral;0.87 SOL / 174K txs / 35K CU
CCTPmbSD7gX1bxKPAmg77w8oFzNFpaQiQUWD43TKaecd;Circle CCTP;bridge;cross_chain;potential;circle_docs;Circle Cross-Chain Transfer Protocol - bridge message relay could use AOT
PRPLUgjCUxCEzNPP6x7XJVK1WR5XX28Zu8MEyTqvGjF;Purple Protocol;unknown;defi;potential;behavioral;0.81 SOL / 162K txs / 144K CU = DeFi protocol
vVoLTRjQmtFpiYoegx285Ze4gsLJ8ZxgFKVcuvmG1a8;Volt Protocol;defi;structured_products;potential;behavioral;0.81 SOL / 57K txs / 201K CU = structured products vault
AnCCJjheynmGqPp6Vgat9DTirGKD4CtQzP8cwTYV8qKH;Whale Bot (AnCCJ);trading_bot;mev;jit;behavioral;0.79 SOL / 831 txs / 118K CU / 7.92 fee/CU = very few txs very high fee = whale
2qGyiNeWyZxNdkvWHc2jT5qkCnYa1j1gDLSSUmyoWMh8;Unknown Protocol (2qGyi);unknown;defi;potential;behavioral;0.76 SOL / 152K txs / 129K CU
MYstiCRQrXvJAp3DGUdguaZjn7Zq1kwUYRe2sRK2RFY;Unknown Protocol (MYsti);unknown;defi;potential;behavioral;0.75 SOL / 150K txs / 19K CU
7wuFcHkbVckS6nMqZ5pg6ykmw5uWTqzvqK1gdb8xGdp4;Unknown DeFi (7wuFc);unknown;defi;potential;behavioral;0.73 SOL / 18K txs / 83K CU
CCTPiPYPc6AsJuwueEnWgSgucamXDZwBd53dQ11YiKX3;Circle CCTP v2;bridge;cross_chain;potential;circle_docs;Circle CCTP version 2 - cross-chain transfer relay
